ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,23931.5660393664,34434.41045899978,61976.23158893094,23931.5660393664,23931.5660393664,24474.399452038975,24474.399452038975,24474.399452038975,8360.08843998886,8360.08843998886,8360.08843998886,16114.311012050115,16114.311012050115,16114.311012050115,0.0,0.0,0.0,48405.965491405375
2009-12-02,23928.323553189464,30130.665216681606,58347.69934227308,23928.323553189464,23928.323553189464,20169.48801093897,20169.48801093897,20169.48801093897,4695.4516770898135,4695.4516770898135,4695.4516770898135,15474.036333849155,15474.036333849155,15474.036333849155,0.0,0.0,0.0,44097.81156412844
2009-12-03,23925.081067012525,37578.10525793258,65227.11206548653,23925.081067012525,23925.081067012525,27335.880781744825,27335.880781744825,27335.880781744825,12609.718154230957,12609.718154230957,12609.718154230957,14726.162627513866,14726.162627513866,14726.162627513866,0.0,0.0,0.0,51260.961848757346
2009-12-04,23921.838580835585,26722.028817006216,53481.145257693264,23921.838580835585,23921.838580835585,16232.021938318534,16232.021938318534,16232.021938318534,2363.245306488738,2363.245306488738,2363.245306488738,13868.776631829796,13868.776631829796,13868.776631829796,0.0,0.0,0.0,40153.86051915412
2009-12-05,23918.59609465865,-6152.488235557084,22431.253802718133,23918.59609465865,23918.59609465865,-14997.283051970819,-14997.283051970819,-14997.283051970819,-27899.33328215788,-27899.33328215788,-27899.33328215788,12902.05023018706,12902.05023018706,12902.05023018706,0.0,0.0,0.0,8921.31304268783
2009-12-06,23915.35360848171,16346.068634778569,43225.962319429476,23915.35360848171,23915.35360848171,6217.378509640812,6217.378509640812,6217.378509640812,-5611.022087623489,-5611.022087623489,-5611.022087623489,11828.4005972643,11828.4005972643,11828.4005972643,0.0,0.0,0.0,30132.73211812252
2009-12-07,23912.11112230477,27037.92856445901,53711.78411317075,23912.11112230477,23912.11112230477,16134.446728088496,16134.446728088496,16134.446728088496,5481.851792076917,5481.851792076917,5481.851792076917,10652.59493601158,10652.59493601158,10652.59493601158,0.0,0.0,0.0,40046.55785039326
2009-12-08,23908.86863612783,29013.69331117825,55882.59481965007,23908.86863612783,23908.86863612783,17741.88301288103,17741.88301288103,17741.88301288103,8360.08844000632,8360.08844000632,8360.08844000632,9381.794572874709,9381.794572874709,9381.794572874709,0.0,0.0,0.0,41650.75164900886
2009-12-09,23905.62614995089,23330.785614160686,50094.208386205326,23905.62614995089,23905.62614995089,12720.986516590767,12720.986516590767,12720.986516590767,4695.451677104948,4695.451677104948,4695.451677104948,8025.534839485819,8025.534839485819,8025.534839485819,0.0,0.0,0.0,36626.61266654166
2009-12-10,23902.383663773955,29482.26703043324,56669.32980433177,23902.383663773955,23902.383663773955,19205.35712166076,19205.35712166076,19205.35712166076,12609.718154188038,12609.718154188038,12609.718154188038,6595.638967472724,6595.638967472724,6595.638967472724,0.0,0.0,0.0,43107.74078543471
2009-12-11,23899.141177597015,18048.668835421533,44659.905271744334,23899.141177597015,23899.141177597015,7469.311415174608,7469.311415174608,7469.311415174608,2363.24530647409,2363.24530647409,2363.24530647409,5106.066108700517,5106.066108700517,5106.066108700517,0.0,0.0,0.0,31368.452592771624
2009-12-13,23892.65620524314,6247.050193965826,33418.83843163538,23892.65620524314,23892.65620524314,-3597.971310917888,-3597.971310917888,-3597.971310917888,-5611.022087605455,-5611.022087605455,-5611.022087605455,2013.0507766875678,2013.0507766875678,2013.0507766875678,0.0,0.0,0.0,20294.68489432525
2009-12-14,23889.4137190662,16197.5470049998,43473.341052831965,23889.4137190662,23889.4137190662,5927.821730552733,5927.821730552733,5927.821730552733,5481.8517920674485,5481.8517920674485,5481.8517920674485,445.9699384852847,445.9699384852847,445.9699384852847,0.0,0.0,0.0,29817.235449618933
2009-12-15,23886.17123288926,18472.22638646181,44041.87918694798,23886.17123288926,23886.17123288926,7251.3172260489255,7251.3172260489255,7251.3172260489255,8360.088440010644,8360.088440010644,8360.088440010644,-1108.7712139617188,-1108.7712139617188,-1108.7712139617188,0.0,0.0,0.0,31137.488458938187
2009-12-16,23882.928746712325,12228.614314463925,39506.647300907636,23882.928746712325,23882.928746712325,2064.578030948941,2064.578030948941,2064.578030948941,4695.4516771011395,4695.4516771011395,4695.4516771011395,-2630.873646152199,-2630.873646152199,-2630.873646152199,0.0,0.0,0.0,25947.506777661267
2009-12-17,23879.686260535385,19014.503120147532,45012.59241742247,23879.686260535385,23879.686260535385,8509.760919640476,8509.760919640476,8509.760919640476,12609.718154179467,12609.718154179467,12609.718154179467,-4099.957234538991,-4099.957234538991,-4099.957234538991,0.0,0.0,0.0,32389.447180175863
2009-12-18,23876.443774358446,8660.289350226278,35232.22491735811,23876.443774358446,23876.443774358446,-3132.774074976861,-3132.774074976861,-3132.774074976861,2363.2453064594424,2363.2453064594424,2363.2453064594424,-5496.019381436303,-5496.019381436303,-5496.019381436303,0.0,0.0,0.0,20743.669699381586
2009-12-20,23869.958802004567,-3164.6163072264717,23467.72278816756,23869.958802004567,23869.958802004567,-13604.750150677603,-13604.750150677603,-13604.750150677603,-5611.022087587421,-5611.022087587421,-5611.022087587421,-7993.728063090181,-7993.728063090181,-7993.728063090181,0.0,0.0,0.0,10265.208651326964
2009-12-21,23866.71631582763,7158.339954597445,33792.719024641825,23866.71631582763,23866.71631582763,-3579.523307342587,-3579.523307342587,-3579.523307342587,5481.851792081564,5481.851792081564,5481.851792081564,-9061.37509942415,-9061.37509942415,-9061.37509942415,0.0,0.0,0.0,20287.193008485043
2009-12-22,23863.47377155778,9352.648284881781,34138.5744745701,23863.47377155778,23863.47377155778,-1628.7524612311468,-1628.7524612311468,-1628.7524612311468,8360.088439997095,8360.088439997095,8360.088439997095,-9988.84090122824,-9988.84090122824,-9988.84090122824,0.0,0.0,0.0,22234.721310326633
2009-12-23,23860.23122728793,4348.212280902974,31400.381945208017,23860.23122728793,23860.23122728793,-6069.171234204888,-6069.171234204888,-6069.171234204888,4695.451677080005,4695.451677080005,4695.451677080005,-10764.622911284892,-10764.622911284892,-10764.622911284892,0.0,0.0,0.0,17791.059993083043
2010-01-04,23821.32069604972,7874.830611426341,33617.325561340185,23821.32069604972,23821.32069604972,-2759.0227229783254,-2759.0227229783254,-2759.0227229783254,5481.851792082238,5481.851792082238,5481.851792082238,-8240.874515060563,-8240.874515060563,-8240.874515060563,0.0,0.0,0.0,21062.297973071392
2010-01-05,23818.078151779868,11969.110981036654,37750.15259586807,23818.078151779868,23818.078151779868,979.0995896380755,979.0995896380755,979.0995896380755,8360.088440001005,8360.088440001005,8360.088440001005,-7380.98885036293,-7380.98885036293,-7380.98885036293,0.0,0.0,0.0,24797.177741417945
2010-01-06,23814.835607510016,9149.765047468241,36544.71805979006,23814.835607510016,23814.835607510016,-1815.8903955023586,-1815.8903955023586,-1815.8903955023586,4695.451677055063,4695.451677055063,4695.451677055063,-6511.3420725574215,-6511.3420725574215,-6511.3420725574215,0.0,0.0,0.0,21998.945212007657
2010-01-07,23811.59306324017,18830.121532162408,44250.70131709069,23811.59306324017,23811.59306324017,6955.101312849764,6955.101312849764,6955.101312849764,12609.718154190463,12609.718154190463,12609.718154190463,-5654.616841340699,-5654.616841340699,-5654.616841340699,0.0,0.0,0.0,30766.694376089934
2010-01-08,23808.350518970317,7518.7067853435965,33939.92519171749,23808.350518970317,23808.350518970317,-2469.5339791022493,-2469.5339791022493,-2469.5339791022493,2363.2453064462766,2363.2453064462766,2363.2453064462766,-4832.779285548526,-4832.779285548526,-4832.779285548526,0.0,0.0,0.0,21338.81653986807
2010-01-10,23801.865430430615,863.8739352260384,28779.32254461368,23801.865430430615,23801.865430430615,-8986.019713620033,-8986.019713620033,-8986.019713620033,-5611.022087638061,-5611.022087638061,-5611.022087638061,-3374.9976259819737,-3374.9976259819737,-3374.9976259819737,0.0,0.0,0.0,14815.845716810582
2010-01-11,23798.622886160763,12842.749722791472,38961.81492719087,23798.622886160763,23798.622886160763,2706.906242571925,2706.906242571925,2706.906242571925,5481.851792057138,5481.851792057138,5481.851792057138,-2774.9455494852127,-2774.9455494852127,-2774.9455494852127,0.0,0.0,0.0,26505.529128732687
2010-01-12,23795.380341890912,16103.331978805854,43515.91054380882,23795.380341890912,23795.380341890912,6079.348743501522,6079.348743501522,6079.348743501522,8360.088439974317,8360.088439974317,8360.088439974317,-2280.739696472796,-2280.739696472796,-2280.739696472796,0.0,0.0,0.0,29874.729085392435
