StockCode,Description,UnitsSold,Revenue,Orders,DailyDemand,CurrentStock,SafetyStock,ReorderPoint,StockoutRisk,OverstockRisk,Recommendation
10002,INFLATABLE POLITICAL GLOBE ,8479,6638.2699999999995,297,11.489159891598916,122,80.42411924119241,160.84823848238483,High,Low,Reorder
10080,GROOVY CACTUS INFLATABLE,303,124.60999999999999,26,0.4105691056910569,290,2.8739837398373984,5.747967479674797,Low,High,Markdown
10109,BENDY COLOUR PENCILS,4,1.68,1,0.005420054200542005,126,0.037940379403794036,0.07588075880758807,Low,High,Markdown
10120,DOGGY RUBBER,648,136.07999999999998,62,0.8780487804878049,91,6.146341463414634,12.292682926829269,Low,High,Markdown
10123C,HEARTS WRAPPING TAPE ,628,226.76000000000002,46,0.8509485094850948,208,5.956639566395664,11.913279132791327,Low,High,Markdown
10123G,ARMY CAMO WRAPPING TAPE,2246,157.18,12,3.043360433604336,40,21.303523035230352,42.607046070460704,High,Low,Reorder
10124A,SPOTS ON RED BOOKCOVER TAPE,58,24.36,18,0.07859078590785908,122,0.5501355013550135,1.100271002710027,Low,High,Markdown
10124G,ARMY CAMO BOOKCOVER TAPE,32,13.44,9,0.04336043360433604,141,0.3035230352303523,0.6070460704607046,Low,High,Markdown
10125,MINI FUNKY DESIGN TAPES,1970,1562.7,120,2.669376693766938,234,18.685636856368564,37.37127371273713,Low,High,Markdown
10133,COLOURING PENCILS BROWN TUBE,3307,1910.79,203,4.481029810298103,107,31.36720867208672,62.73441734417344,Low,Low,Healthy
10134,COLOURING PENCILS BROWN TUBE,612,702.3,48,0.8292682926829268,119,5.804878048780488,11.609756097560975,Low,High,Markdown
10135,COLOURING PENCILS BROWN TUBE,3887,4048.14,249,5.266937669376694,171,36.86856368563686,73.73712737127371,Low,Low,Healthy
10138,ASSORTED COLOUR JUMBO PEN,247,103.74,16,0.3346883468834688,150,2.3428184281842817,4.685636856368563,Low,High,Markdown
11001,ASSTD DESIGN RACING CAR PEN,4273,6608.8099999999995,178,5.789972899728998,169,40.52981029810299,81.05962059620597,Low,Low,Healthy
15030,FAN BLACK FRAME ,254,73.66,26,0.34417344173441733,277,2.409214092140921,4.818428184281842,Low,High,Markdown
15034,PAPER POCKET TRAVELING FAN ,9818,1156.1200000000001,172,13.303523035230352,211,93.12466124661246,186.24932249322492,Low,Low,Healthy
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,55.547425474254744,296,388.8319783197832,777.6639566395664,High,Low,Reorder
15039,SANDALWOOD FAN,4146,2848.9,180,5.617886178861789,180,39.32520325203252,78.65040650406505,Low,Low,Healthy
15044A,PINK PAPER PARASOL ,4894,12803.78,194,6.631436314363143,41,46.420054200542005,92.84010840108401,High,Low,Reorder
15044B,BLUE PAPER PARASOL ,1624,4376.400000000001,148,2.200542005420054,272,15.40379403794038,30.80758807588076,Low,High,Markdown
15044C,PURPLE PAPER PARASOL,862,2428.5,160,1.1680216802168022,255,8.176151761517616,16.352303523035232,Low,High,Markdown
15044D,RED PAPER PARASOL,1544,4252.84,188,2.092140921409214,68,14.644986449864497,29.289972899728994,Low,Low,Healthy
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,12.670731707317072,78,88.6951219512195,177.390243902439,High,Low,Reorder
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,14.83468834688347,189,103.84281842818429,207.68563685636857,High,Low,Reorder
15056P,EDWARDIAN PARASOL PINK,2436,11872.810000000001,321,3.3008130081300813,207,23.10569105691057,46.21138211382114,Low,High,Markdown
15058A,BLUE WHITE SPOTS GARDEN PARASOL,419,2499.05,106,0.5677506775067751,290,3.9742547425474255,7.948509485094851,Low,High,Markdown
15058B,PINK WHITE SPOTS GARDEN PARASOL,301,1920.95,91,0.4078590785907859,209,2.855013550135501,5.710027100271002,Low,High,Markdown
15058C,ICE CREAM DESIGN GARDEN PARASOL,413,1963.35,71,0.559620596205962,194,3.9173441734417342,7.8346883468834685,Low,High,Markdown
